/home/rs/24CS91R08/miniconda3/envs/venv/lib/python3.10/site-packages/torch/utils/data/dataloader.py:624: UserWarning: This DataLoader will create 8 worker processes in total. Our suggested max number of worker in current system is 2, which is smaller than what this DataLoader is going to create. Please be aware that excessive worker creation might get DataLoader running slow or even freeze, lower the worker number to avoid potential slowness/freeze if necessary.
  warnings.warn(
[DEVICE] cuda
[GPU] NVIDIA L40 | VRAM 47.7GB
[MODEL] Loading processors...
[DATA] Building datasets...
[LLaVA-Instruct] 361411 samples
[GQA Train] 72140 unique image samples
[TextVQA] 34602 samples
[DATA] Total train samples: 468153
[MODEL] Loading CLIP (frozen)...
Loading weights:   0%|          | 0/199 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 199/199 [00:00<00:00, 53572.95it/s]
[transformers] [1mCLIPVisionModel LOAD REPORT[0m from: openai/clip-vit-base-patch32
Key                                                          | Status     |  | 
-------------------------------------------------------------+------------+--+-
text_model.encoder.layers.{0...11}.mlp.fc2.weight            | UNEXPECTED |  | 
text_model.encoder.layers.{0...11}.mlp.fc2.bias              | UNEXPECTED |  | 
text_model.encoder.layers.{0...11}.self_attn.k_proj.bias     | UNEXPECTED |  | 
text_model.encoder.layers.{0...11}.mlp.fc1.weight            | UNEXPECTED |  | 
text_model.encoder.layers.{0...11}.self_attn.out_proj.bias   | UNEXPECTED |  | 
text_model.encoder.layers.{0...11}.self_attn.out_proj.weight | UNEXPECTED |  | 
text_model.encoder.layers.{0...11}.layer_norm1.weight        | UNEXPECTED |  | 
text_model.embeddings.token_embedding.weight                 | UNEXPECTED |  | 
text_model.encoder.layers.{0...11}.layer_norm2.weight        | UNEXPECTED |  | 
logit_scale                                                  | UNEXPECTED |  | 
text_model.encoder.layers.{0...11}.self_attn.k_proj.weight   | UNEXPECTED |  | 
text_model.encoder.layers.{0...11}.mlp.fc1.bias              | UNEXPECTED |  | 
text_model.encoder.layers.{0...11}.self_attn.q_proj.weight   | UNEXPECTED |  | 
text_model.encoder.layers.{0...11}.self_attn.v_proj.bias     | UNEXPECTED |  | 
text_model.encoder.layers.{0...11}.layer_norm1.bias          | UNEXPECTED |  | 
text_model.encoder.layers.{0...11}.self_attn.v_proj.weight   | UNEXPECTED |  | 
text_model.encoder.layers.{0...11}.layer_norm2.bias          | UNEXPECTED |  | 
text_model.encoder.layers.{0...11}.self_attn.q_proj.bias     | UNEXPECTED |  | 
text_model.final_layer_norm.bias                             | UNEXPECTED |  | 
text_model.embeddings.position_embedding.weight              | UNEXPECTED |  | 
text_model.final_layer_norm.weight                           | UNEXPECTED |  | 
text_projection.weight                                       | UNEXPECTED |  | 
visual_projection.weight                                     | UNEXPECTED |  | 
Notes:
- UNEXPECTED:	can be ignored when loading from different task/architecture; not ok if you expect identical arch.
[MODEL] Loading Qwen (trainable)...
Loading weights:   0%|          | 0/290 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 290/290 [00:00<00:00, 8784.77it/s]
[MODEL] Building proj1 (768→896 via 2048)...
[MODEL] Trainable: 501.6M / Total: 589.1M params
[CKPT] Loading Stage 1 NoGemma proj1 from ../checkpoints/stage1_nogemma/stage1_nogemma_best.pt
  Stage 1 val loss was: 3.3411 (epoch 4)
============================================================
EPOCH 1/3
============================================================
[DATA] Starting train loop... (29259 batches)
[Epoch 1/3] Step 1/29259 | Loss 2.4323 (avg 2.4323) | Elapsed 2s | ETA 16h 35m 2s | Samples/s 8
[Epoch 1/3] Step 4625/29259 | Loss 1.5340 (avg 1.7469) | Elapsed 20m 24s | ETA 1h 48m 43s | Samples/s 60
[Epoch 1/3] Step 4626/29259 | Loss 1.6963 (avg 1.7469) | Elapsed 20m 25s | ETA 1h 48m 43s | Samples/s 60
[Epoch 1/3] Step 4627/29259 | Loss 1.6850 (avg 1.7469) | Elapsed 20m 25s | ETA 1h 48m 43s | Samples/s 60
[Epoch 1/3] Step 4628/29259 | Loss 1.5996 (avg 1.7469) | Elapsed 20m 25s | ETA 1h 48m 42s | Samples/s 60
[Epoch 1/3] Step 4629/29259 | Loss 1.8118 (avg 1.7469) | Elapsed 20m 25s | ETA 1h 48m 42s | Samples/s 60
[Epoch 1/3] Step 4630/29259 | Loss 1.6411 (avg 1.7469) | Elapsed 20m 26s | ETA 1h 48m 42s | Samples/s 60
[Epoch 1/3] Step 4631/29259 | Loss 1.5458 (avg 1.7468) | Elapsed 20m 26s | ETA 1h 48m 42s | Samples/s 60
[Epoch 1/3] Step 4632/29259 | Loss 1.6708 (avg 1.7468) | Elapsed 20m 26s | ETA 1h 48m 41s | Samples/s 60
[Epoch 1/3] Step 4633/29259 | Loss 1.7344 (avg 1.7468) | Elapsed 20m 26s | ETA 1h 48m 41s | Samples/s 60
[Epoch 1/3] Step 4634/29259 | Loss 1.7255 (avg 1.7468) | Elapsed 20m 27s | ETA 1h 48m 41s | Samples/s 60
[Epoch 1/3] Step 4635/29259 | Loss 1.6821 (avg 1.7468) | Elapsed 20m 27s | ETA 1h 48m 41s | Samples/s 60
[Epoch 1/3] Step 4636/29259 | Loss 1.8191 (avg 1.7468) | Elapsed 20m 27s | ETA 1h 48m 40s | Samples/s 60
[Epoch 1/3] Step 4637/29259 | Loss 1.5454 (avg 1.7468) | Elapsed 20m 27s | ETA 1h 48m 40s | Samples/s 60
[Epoch 1/3] Step 4638/29259 | Loss 1.7203 (avg 1.7468) | Elapsed 20m 28s | ETA 1h 48m 40s | Samples/s 60
[Epoch 1/3] Step 4639/29259 | Loss 1.6288 (avg 1.7467) | Elapsed 20m 28s | ETA 1h 48m 40s | Samples/s 60
[Epoch 1/3] Step 4640/29259 | Loss 1.6993 (avg 1.7467) | Elapsed 20m 28s | ETA 1h 48m 39s | Samples/s 60
[Epoch 1/3] Step 4641/29259 | Loss 1.6208 (avg 1.7467) | Elapsed 20m 29s | ETA 1h 48m 39s | Samples/s 60
[Epoch 1/3] Step 4642/29259 | Loss 1.7579 (avg 1.7467) | Elapsed 20m 29s | ETA 1h 48m 39s | Samples/s 60
[Epoch 1/3] Step 4643/29259 | Loss 1.6683 (avg 1.7467) | Elapsed 20m 29s | ETA 1h 48m 38s | Samples/s 60
[Epoch 1/3] Step 4644/29259 | Loss 1.6822 (avg 1.7467) | Elapsed 20m 29s | ETA 1h 48m 38s | Samples/s 60
[Epoch 1/3] Step 4645/29259 | Loss 1.6839 (avg 1.7466) | Elapsed 20m 30s | ETA 1h 48m 38s | Samples/s 60
[Epoch 1/3] Step 4646/29259 | Loss 1.7973 (avg 1.7467) | Elapsed 20m 30s | ETA 1h 48m 38s | Samples/s 60
[Epoch 1/3] Step 4647/29259 | Loss 1.7440 (avg 1.7467) | Elapsed 20m 30s | ETA 1h 48m 37s | Samples/s 60
[Epoch 1/3] Step 4648/29259 | Loss 1.5440 (avg 1.7466) | Elapsed 20m 30s | ETA 1h 48m 37s | Samples/s 60
[Epoch 1/3] Step 4649/29259 | Loss 1.7213 (avg 1.7466) | Elapsed 20m 31s | ETA 1h 48m 37s | Samples/s 60
[Epoch 1/3] Step 4650/29259 | Loss 1.6399 (avg 1.7466) | Elapsed 20m 31s | ETA 1h 48m 37s | Samples/s 60
[Epoch 1/3] Step 4651/29259 | Loss 1.7887 (avg 1.7466) | Elapsed 20m 31s | ETA 1h 48m 36s | Samples/s 60
[Epoch 1/3] Step 4652/29259 | Loss 1.5477 (avg 1.7466) | Elapsed 20m 31s | ETA 1h 48m 36s | Samples/s 60
[Epoch 1/3] Step 4653/29259 | Loss 1.6113 (avg 1.7465) | Elapsed 20m 32s | ETA 1h 48m 36s | Samples/s 60
[Epoch 1/3] Step 4654/29259 | Loss 1.7060 (avg 1.7465) | Elapsed 20m 32s | ETA 1h 48m 36s | Samples/s 60
[Epoch 1/3] Step 4655/29259 | Loss 1.6525 (avg 1.7465) | Elapsed 20m 32s | ETA 1h 48m 35s | Samples/s 60
[Epoch 1/3] Step 4656/29259 | Loss 1.7434 (avg 1.7465) | Elapsed 20m 33s | ETA 1h 48m 35s | Samples/s 60
[Epoch 1/3] Step 4657/29259 | Loss 1.8282 (avg 1.7465) | Elapsed 20m 33s | ETA 1h 48m 35s | Samples/s 60
[Epoch 1/3] Step 4658/29259 | Loss 1.7819 (avg 1.7465) | Elapsed 20m 33s | ETA 1h 48m 35s | Samples/s 60
[Epoch 1/3] Step 4659/29259 | Loss 1.6677 (avg 1.7465) | Elapsed 20m 33s | ETA 1h 48m 34s | Samples/s 60
[Epoch 1/3] Step 4660/29259 | Loss 1.6604 (avg 1.7465) | Elapsed 20m 34s | ETA 1h 48m 34s | Samples/s 60
[Epoch 1/3] Step 4661/29259 | Loss 1.6487 (avg 1.7465) | Elapsed 20m 34s | ETA 1h 48m 34s | Samples/s 60
[Epoch 1/3] Step 4662/29259 | Loss 1.6559 (avg 1.7464) | Elapsed 20m 34s | ETA 1h 48m 34s | Samples/s 60
[Epoch 1/3] Step 4663/29259 | Loss 1.7580 (avg 1.7464) | Elapsed 20m 34s | ETA 1h 48m 33s | Samples/s 60
[Epoch 1/3] Step 4664/29259 | Loss 1.6959 (avg 1.7464) | Elapsed 20m 35s | ETA 1h 48m 33s | Samples/s 60
[Epoch 1/3] Step 4665/29259 | Loss 1.8629 (avg 1.7465) | Elapsed 20m 35s | ETA 1h 48m 33s | Samples/s 60
[Epoch 1/3] Step 4666/29259 | Loss 1.5231 (avg 1.7464) | Elapsed 20m 35s | ETA 1h 48m 32s | Samples/s 60
[Epoch 1/3] Step 4667/29259 | Loss 1.8024 (avg 1.7464) | Elapsed 20m 35s | ETA 1h 48m 32s | Samples/s 60
[Epoch 1/3] Step 4668/29259 | Loss 1.8734 (avg 1.7465) | Elapsed 20m 36s | ETA 1h 48m 32s | Samples/s 60
[Epoch 1/3] Step 4669/29259 | Loss 1.7839 (avg 1.7465) | Elapsed 20m 36s | ETA 1h 48m 32s | Samples/s 60
[Epoch 1/3] Step 4670/29259 | Loss 1.8118 (avg 1.7465) | Elapsed 20m 36s | ETA 1h 48m 31s | Samples/s 60
[Epoch 1/3] Step 4671/29259 | Loss 1.7999 (avg 1.7465) | Elapsed 20m 37s | ETA 1h 48m 31s | Samples/s 60
[Epoch 1/3] Step 4672/29259 | Loss 1.6078 (avg 1.7465) | Elapsed 20m 37s | ETA 1h 48m 31s | Samples/s 60
[Epoch 1/3] Step 4673/29259 | Loss 1.6674 (avg 1.7464) | Elapsed 20m 37s | ETA 1h 48m 31s | Samples/s 60
[Epoch 1/3] Step 4674/29259 | Loss 1.7559 (avg 1.7464) | Elapsed 20m 37s | ETA 1h 48m 30s | Samples/s 60
[Epoch 1/3] Step 4675/29259 | Loss 1.8120 (avg 1.7465) | Elapsed 20m 38s | ETA 1h 48m 30s | Samples/s 60
[Epoch 1/3] Step 4676/29259 | Loss 1.7893 (avg 1.7465) | Elapsed 20m 38s | ETA 1h 48m 30s | Samples/s 60
[Epoch 1/3] Step 4677/29259 | Loss 1.5808 (avg 1.7464) | Elapsed 20m 38s | ETA 1h 48m 30s | Samples/s 60
[Epoch 1/3] Step 4678/29259 | Loss 1.5955 (avg 1.7464) | Elapsed 20m 38s | ETA 1h 48m 29s | Samples/s 60
[Epoch 1/3] Step 4679/29259 | Loss 1.9572 (avg 1.7464) | Elapsed 20m 39s | ETA 1h 48m 29s | Samples/s 60
[Epoch 1/3] Step 4680/29259 | Loss 1.5687 (avg 1.7464) | Elapsed 20m 39s | ETA 1h 48m 29s | Samples/s 60
[Epoch 1/3] Step 4681/29259 | Loss 1.6643 (avg 1.7464) | Elapsed 20m 39s | ETA 1h 48m 28s | Samples/s 60
[Epoch 1/3] Step 4682/29259 | Loss 1.5984 (avg 1.7464) | Elapsed 20m 39s | ETA 1h 48m 28s | Samples/s 60
[Epoch 1/3] Step 4683/29259 | Loss 1.8324 (avg 1.7464) | Elapsed 20m 40s | ETA 1h 48m 28s | Samples/s 60
[Epoch 1/3] Step 4684/29259 | Loss 1.7239 (avg 1.7464) | Elapsed 20m 40s | ETA 1h 48m 28s | Samples/s 60
[Epoch 1/3] Step 4685/29259 | Loss 1.6015 (avg 1.7463) | Elapsed 20m 40s | ETA 1h 48m 27s | Samples/s 60
[Epoch 1/3] Step 4686/29259 | Loss 1.5933 (avg 1.7463) | Elapsed 20m 40s | ETA 1h 48m 27s | Samples/s 60
[Epoch 1/3] Step 4687/29259 | Loss 1.8530 (avg 1.7463) | Elapsed 20m 41s | ETA 1h 48m 27s | Samples/s 60
[Epoch 1/3] Step 4688/29259 | Loss 1.6067 (avg 1.7463) | Elapsed 20m 41s | ETA 1h 48m 27s | Samples/s 60
[Epoch 1/3] Step 4689/29259 | Loss 1.8135 (avg 1.7463) | Elapsed 20m 41s | ETA 1h 48m 26s | Samples/s 60
[Epoch 1/3] Step 4690/29259 | Loss 1.7472 (avg 1.7463) | Elapsed 20m 42s | ETA 1h 48m 26s | Samples/s 60
[Epoch 1/3] Step 4691/29259 | Loss 1.7189 (avg 1.7463) | Elapsed 20m 42s | ETA 1h 48m 26s | Samples/s 60
[Epoch 1/3] Step 4692/29259 | Loss 1.7677 (avg 1.7463) | Elapsed 20m 42s | ETA 1h 48m 25s | Samples/s 60
[Epoch 1/3] Step 4693/29259 | Loss 1.7258 (avg 1.7463) | Elapsed 20m 42s | ETA 1h 48m 25s | Samples/s 60
[Epoch 1/3] Step 4694/29259 | Loss 1.6920 (avg 1.7463) | Elapsed 20m 43s | ETA 1h 48m 25s | Samples/s 60
[Epoch 1/3] Step 4695/29259 | Loss 1.6933 (avg 1.7463) | Elapsed 20m 43s | ETA 1h 48m 25s | Samples/s 60
[Epoch 1/3] Step 4696/29259 | Loss 1.6610 (avg 1.7463) | Elapsed 20m 43s | ETA 1h 48m 24s | Samples/s 60
[Epoch 1/3] Step 4697/29259 | Loss 1.4670 (avg 1.7462) | Elapsed 20m 43s | ETA 1h 48m 24s | Samples/s 60
[Epoch 1/3] Step 4698/29259 | Loss 1.7760 (avg 1.7462) | Elapsed 20m 44s | ETA 1h 48m 24s | Samples/s 60
[Epoch 1/3] Step 4699/29259 | Loss 1.4398 (avg 1.7461) | Elapsed 20m 44s | ETA 1h 48m 24s | Samples/s 60
[Epoch 1/3] Step 4700/29259 | Loss 1.7450 (avg 1.7461) | Elapsed 20m 44s | ETA 1h 48m 23s | Samples/s 60
[Epoch 1/3] Step 4701/29259 | Loss 1.8984 (avg 1.7462) | Elapsed 20m 44s | ETA 1h 48m 23s | Samples/s 60
[Epoch 1/3] Step 4702/29259 | Loss 1.7228 (avg 1.7462) | Elapsed 20m 45s | ETA 1h 48m 23s | Samples/s 60
[Epoch 1/3] Step 4703/29259 | Loss 1.8494 (avg 1.7462) | Elapsed 20m 45s | ETA 1h 48m 22s | Samples/s 60
[Epoch 1/3] Step 4704/29259 | Loss 1.6420 (avg 1.7462) | Elapsed 20m 45s | ETA 1h 48m 22s | Samples/s 60
[Epoch 1/3] Step 4705/29259 | Loss 1.6979 (avg 1.7462) | Elapsed 20m 45s | ETA 1h 48m 22s | Samples/s 60
[Epoch 1/3] Step 4706/29259 | Loss 1.6847 (avg 1.7461) | Elapsed 20m 46s | ETA 1h 48m 22s | Samples/s 60
[Epoch 1/3] Step 4707/29259 | Loss 1.6428 (avg 1.7461) | Elapsed 20m 46s | ETA 1h 48m 21s | Samples/s 60
[Epoch 1/3] Step 4708/29259 | Loss 1.6888 (avg 1.7461) | Elapsed 20m 46s | ETA 1h 48m 21s | Samples/s 60
[Epoch 1/3] Step 4709/29259 | Loss 1.6436 (avg 1.7461) | Elapsed 20m 47s | ETA 1h 48m 21s | Samples/s 60
[Epoch 1/3] Step 4710/29259 | Loss 1.7076 (avg 1.7461) | Elapsed 20m 47s | ETA 1h 48m 21s | Samples/s 60
[Epoch 1/3] Step 4711/29259 | Loss 1.8967 (avg 1.7461) | Elapsed 20m 47s | ETA 1h 48m 20s | Samples/s 60
[Epoch 1/3] Step 4712/29259 | Loss 1.7589 (avg 1.7461) | Elapsed 20m 47s | ETA 1h 48m 20s | Samples/s 60
[Epoch 1/3] Step 4713/29259 | Loss 1.7522 (avg 1.7461) | Elapsed 20m 48s | ETA 1h 48m 20s | Samples/s 60
[Epoch 1/3] Step 4714/29259 | Loss 1.7696 (avg 1.7461) | Elapsed 20m 48s | ETA 1h 48m 20s | Samples/s 60
[Epoch 1/3] Step 4715/29259 | Loss 1.5287 (avg 1.7461) | Elapsed 20m 48s | ETA 1h 48m 19s | Samples/s 60
[Epoch 1/3] Step 4716/29259 | Loss 1.8737 (avg 1.7461) | Elapsed 20m 48s | ETA 1h 48m 19s | Samples/s 60
[Epoch 1/3] Step 4717/29259 | Loss 1.8294 (avg 1.7461) | Elapsed 20m 49s | ETA 1h 48m 19s | Samples/s 60
[Epoch 1/3] Step 4718/29259 | Loss 1.5283 (avg 1.7461) | Elapsed 20m 49s | ETA 1h 48m 18s | Samples/s 60
[Epoch 1/3] Step 4719/29259 | Loss 1.8002 (avg 1.7461) | Elapsed 20m 49s | ETA 1h 48m 18s | Samples/s 60
[Epoch 1/3] Step 4720/29259 | Loss 1.5866 (avg 1.7461) | Elapsed 20m 49s | ETA 1h 48m 18s | Samples/s 60
[Epoch 1/3] Step 4721/29259 | Loss 1.6346 (avg 1.7460) | Elapsed 20m 50s | ETA 1h 48m 18s | Samples/s 60
[Epoch 1/3] Step 4722/29259 | Loss 1.6768 (avg 1.7460) | Elapsed 20m 50s | ETA 1h 48m 17s | Samples/s 60
[Epoch 1/3] Step 4723/29259 | Loss 1.6682 (avg 1.7460) | Elapsed 20m 50s | ETA 1h 48m 17s | Samples/s 60
[Epoch 1/3] Step 4724/29259 | Loss 1.7638 (avg 1.7460) | Elapsed 20m 50s | ETA 1h 48m 17s | Samples/s 60
[Epoch 1/3] Step 4725/29259 | Loss 1.6605 (avg 1.7460) | Elapsed 20m 51s | ETA 1h 48m 17s | Samples/s 60
[Epoch 1/3] Step 4726/29259 | Loss 1.6953 (avg 1.7460) | Elapsed 20m 51s | ETA 1h 48m 16s | Samples/s 60
[Epoch 1/3] Step 4727/29259 | Loss 1.6736 (avg 1.7460) | Elapsed 20m 51s | ETA 1h 48m 16s | Samples/s 60
[Epoch 1/3] Step 4728/29259 | Loss 1.8128 (avg 1.7460) | Elapsed 20m 52s | ETA 1h 48m 16s | Samples/s 60
[Epoch 1/3] Step 4729/29259 | Loss 1.7368 (avg 1.7460) | Elapsed 20m 52s | ETA 1h 48m 15s | Samples/s 60
[Epoch 1/3] Step 4730/29259 | Loss 1.6188 (avg 1.7459) | Elapsed 20m 52s | ETA 1h 48m 15s | Samples/s 60
[Epoch 1/3] Step 4731/29259 | Loss 1.7024 (avg 1.7459) | Elapsed 20m 52s | ETA 1h 48m 15s | Samples/s 60
[Epoch 1/3] Step 4732/29259 | Loss 1.6725 (avg 1.7459) | Elapsed 20m 53s | ETA 1h 48m 15s | Samples/s 60
[Epoch 1/3] Step 4733/29259 | Loss 1.6103 (avg 1.7459) | Elapsed 20m 53s | ETA 1h 48m 14s | Samples/s 60
[Epoch 1/3] Step 4734/29259 | Loss 1.6056 (avg 1.7459) | Elapsed 20m 53s | ETA 1h 48m 14s | Samples/s 60
[Epoch 1/3] Step 4735/29259 | Loss 1.5686 (avg 1.7458) | Elapsed 20m 53s | ETA 1h 48m 14s | Samples/s 60
[Epoch 1/3] Step 4736/29259 | Loss 1.6552 (avg 1.7458) | Elapsed 20m 54s | ETA 1h 48m 14s | Samples/s 60
[Epoch 1/3] Step 4737/29259 | Loss 1.6302 (avg 1.7458) | Elapsed 20m 54s | ETA 1h 48m 13s | Samples/s 60
[Epoch 1/3] Step 4738/29259 | Loss 1.6771 (avg 1.7458) | Elapsed 20m 54s | ETA 1h 48m 13s | Samples/s 60
[Epoch 1/3] Step 4739/29259 | Loss 1.6644 (avg 1.7458) | Elapsed 20m 54s | ETA 1h 48m 13s | Samples/s 60
[Epoch 1/3] Step 4740/29259 | Loss 1.6279 (avg 1.7457) | Elapsed 20m 55s | ETA 1h 48m 13s | Samples/s 60
[Epoch 1/3] Step 4741/29259 | Loss 1.6829 (avg 1.7457) | Elapsed 20m 55s | ETA 1h 48m 12s | Samples/s 60
[Epoch 1/3] Step 4742/29259 | Loss 1.7574 (avg 1.7457) | Elapsed 20m 55s | ETA 1h 48m 12s | Samples/s 60
[Epoch 1/3] Step 4743/29259 | Loss 1.6967 (avg 1.7457) | Elapsed 20m 56s | ETA 1h 48m 12s | Samples/s 60
[Epoch 1/3] Step 4744/29259 | Loss 1.9006 (avg 1.7457) | Elapsed 20m 56s | ETA 1h 48m 12s | Samples/s 60
[Epoch 1/3] Step 4745/29259 | Loss 1.7253 (avg 1.7457) | Elapsed 20m 56s | ETA 1h 48m 11s | Samples/s 60
[Epoch 1/3] Step 4746/29259 | Loss 1.9231 (avg 1.7458) | Elapsed 20m 56s | ETA 1h 48m 11s | Samples/s 60
[Epoch 1/3] Step 4747/29259 | Loss 1.6882 (avg 1.7458) | Elapsed 20m 57s | ETA 1h 48m 11s | Samples/s 60
[Epoch 1/3] Step 4748/29259 | Loss 1.6484 (avg 1.7457) | Elapsed 20m 57s | ETA 1h 48m 11s | Samples/s 60
[Epoch 1/3] Step 4749/29259 | Loss 1.6203 (avg 1.7457) | Elapsed 20m 57s | ETA 1h 48m 10s | Samples/s 60
[Epoch 1/3] Step 4750/29259 | Loss 1.6443 (avg 1.7457) | Elapsed 20m 57s | ETA 1h 48m 10s | Samples/s 60
[Epoch 1/3] Step 4751/29259 | Loss 1.4367 (avg 1.7456) | Elapsed 20m 58s | ETA 1h 48m 10s | Samples/s 60
[Epoch 1/3] Step 4752/29259 | Loss 1.7401 (avg 1.7456) | Elapsed 20m 58s | ETA 1h 48m 9s | Samples/s 60
[Epoch 1/3] Step 4753/29259 | Loss 1.7319 (avg 1.7456) | Elapsed 20m 58s | ETA 1h 48m 9s | Samples/s 60
[Epoch 1/3] Step 4754/29259 | Loss 1.5643 (avg 1.7456) | Elapsed 20m 58s | ETA 1h 48m 9s | Samples/s 60
[Epoch 1/3] Step 4755/29259 | Loss 1.6675 (avg 1.7456) | Elapsed 20m 59s | ETA 1h 48m 9s | Samples/s 60
[Epoch 1/3] Step 4756/29259 | Loss 1.6038 (avg 1.7455) | Elapsed 20m 59s | ETA 1h 48m 8s | Samples/s 60
[Epoch 1/3] Step 4757/29259 | Loss 1.6429 (avg 1.7455) | Elapsed 20m 59s | ETA 1h 48m 8s | Samples/s 60
[Epoch 1/3] Step 4758/29259 | Loss 1.7614 (avg 1.7455) | Elapsed 21m 0s | ETA 1h 48m 8s | Samples/s 60
[Epoch 1/3] Step 4759/29259 | Loss 1.7104 (avg 1.7455) | Elapsed 21m 0s | ETA 1h 48m 8s | Samples/s 60
[Epoch 1/3] Step 4760/29259 | Loss 1.6735 (avg 1.7455) | Elapsed 21m 0s | ETA 1h 48m 7s | Samples/s 60
[Epoch 1/3] Step 4761/29259 | Loss 1.6499 (avg 1.7455) | Elapsed 21m 0s | ETA 1h 48m 7s | Samples/s 60
[Epoch 1/3] Step 4762/29259 | Loss 1.8326 (avg 1.7455) | Elapsed 21m 1s | ETA 1h 48m 7s | Samples/s 60
[Epoch 1/3] Step 4763/29259 | Loss 1.6564 (avg 1.7455) | Elapsed 21m 1s | ETA 1h 48m 7s | Samples/s 60
[Epoch 1/3] Step 4764/29259 | Loss 1.8604 (avg 1.7455) | Elapsed 21m 1s | ETA 1h 48m 6s | Samples/s 60
[Epoch 1/3] Step 4765/29259 | Loss 1.7520 (avg 1.7455) | Elapsed 21m 1s | ETA 1h 48m 6s | Samples/s 60
[Epoch 1/3] Step 4766/29259 | Loss 1.7492 (avg 1.7455) | Elapsed 21m 2s | ETA 1h 48m 6s | Samples/s 60
[Epoch 1/3] Step 4767/29259 | Loss 1.6273 (avg 1.7455) | Elapsed 21m 2s | ETA 1h 48m 5s | Samples/s 60
[Epoch 1/3] Step 4768/29259 | Loss 1.6018 (avg 1.7454) | Elapsed 21m 2s | ETA 1h 48m 5s | Samples/s 60
[Epoch 1/3] Step 4769/29259 | Loss 1.7410 (avg 1.7454) | Elapsed 21m 2s | ETA 1h 48m 5s | Samples/s 60
[Epoch 1/3] Step 4770/29259 | Loss 1.8091 (avg 1.7455) | Elapsed 21m 3s | ETA 1h 48m 5s | Samples/s 60
[Epoch 1/3] Step 4771/29259 | Loss 1.6187 (avg 1.7454) | Elapsed 21m 3s | ETA 1h 48m 4s | Samples/s 60
[Epoch 1/3] Step 4772/29259 | Loss 1.7353 (avg 1.7454) | Elapsed 21m 3s | ETA 1h 48m 4s | Samples/s 60
[Epoch 1/3] Step 4773/29259 | Loss 1.7905 (avg 1.7454) | Elapsed 21m 3s | ETA 1h 48m 4s | Samples/s 60
[Epoch 1/3] Step 4774/29259 | Loss 1.7571 (avg 1.7454) | Elapsed 21m 4s | ETA 1h 48m 4s | Samples/s 60
[Epoch 1/3] Step 4775/29259 | Loss 1.6796 (avg 1.7454) | Elapsed 21m 4s | ETA 1h 48m 3s | Samples/s 60
[Epoch 1/3] Step 4776/29259 | Loss 1.6096 (avg 1.7454) | Elapsed 21m 4s | ETA 1h 48m 3s | Samples/s 60
[Epoch 1/3] Step 4777/29259 | Loss 1.7210 (avg 1.7454) | Elapsed 21m 5s | ETA 1h 48m 3s | Samples/s 60
[Epoch 1/3] Step 4778/29259 | Loss 1.5438 (avg 1.7454) | Elapsed 21m 5s | ETA 1h 48m 3s | Samples/s 60
[Epoch 1/3] Step 4779/29259 | Loss 1.6980 (avg 1.7453) | Elapsed 21m 5s | ETA 1h 48m 2s | Samples/s 60
[Epoch 1/3] Step 4780/29259 | Loss 1.7482 (avg 1.7453) | Elapsed 21m 5s | ETA 1h 48m 2s | Samples/s 60
[Epoch 1/3] Step 4781/29259 | Loss 1.7841 (avg 1.7454) | Elapsed 21m 6s | ETA 1h 48m 2s | Samples/s 60
[Epoch 1/3] Step 4782/29259 | Loss 1.6407 (avg 1.7453) | Elapsed 21m 6s | ETA 1h 48m 1s | Samples/s 60
[Epoch 1/3] Step 4783/29259 | Loss 1.5240 (avg 1.7453) | Elapsed 21m 6s | ETA 1h 48m 1s | Samples/s 60
[Epoch 1/3] Step 4784/29259 | Loss 1.8312 (avg 1.7453) | Elapsed 21m 6s | ETA 1h 48m 1s | Samples/s 60
[Epoch 1/3] Step 4785/29259 | Loss 1.8040 (avg 1.7453) | Elapsed 21m 7s | ETA 1h 48m 1s | Samples/s 60
[Epoch 1/3] Step 4786/29259 | Loss 1.6168 (avg 1.7453) | Elapsed 21m 7s | ETA 1h 48m 0s | Samples/s 60
[Epoch 1/3] Step 4787/29259 | Loss 1.7414 (avg 1.7453) | Elapsed 21m 7s | ETA 1h 48m 0s | Samples/s 60
[Epoch 1/3] Step 4788/29259 | Loss 1.5544 (avg 1.7452) | Elapsed 21m 7s | ETA 1h 48m 0s | Samples/s 60
[Epoch 1/3] Step 4789/29259 | Loss 1.8656 (avg 1.7453) | Elapsed 21m 8s | ETA 1h 48m 0s | Samples/s 60
[Epoch 1/3] Step 4790/29259 | Loss 1.6863 (avg 1.7453) | Elapsed 21m 8s | ETA 1h 47m 59s | Samples/s 60
[Epoch 1/3] Step 4791/29259 | Loss 1.7329 (avg 1.7453) | Elapsed 21m 8s | ETA 1h 47m 59s | Samples/s 60
[Epoch 1/3] Step 4792/29259 | Loss 1.8369 (avg 1.7453) | Elapsed 21m 9s | ETA 1h 47m 59s | Samples/s 60
[Epoch 1/3] Step 4793/29259 | Loss 1.6817 (avg 1.7453) | Elapsed 21m 9s | ETA 1h 47m 59s | Samples/s 60
[Epoch 1/3] Step 4794/29259 | Loss 1.6609 (avg 1.7452) | Elapsed 21m 9s | ETA 1h 47m 58s | Samples/s 60
